matchId,matchDate,ouid,nickname,seasonId,matchResult,matchEndType,systemPause,foul,injury,redCards,yellowCards,dribble,cornerKick,possession,offsideCount,averageRating,controller,shootTotal,effectiveShootTotal,shootOutScore,goalTotal,goalTotalDisplay,ownGoal,shootHeading,goalHeading,shootFreekick,goalFreekick,shootInPenalty,goalInPenalty,shootOutPenalty,goalOutPenalty,shootPenaltyKick,goalPenaltyKick,passTry,passSuccess,shortPassTry,shortPassSuccess,longPassTry,longPassSuccess,bouncingLobPassTry,bouncingLobPassSuccess,drivenGroundPassTry,drivenGroundPassSuccess,throughPassTry,throughPassSuccess,lobbedThroughPassTry,lobbedThroughPassSuccess,blockTry,blockSuccess,tackleTry,tackleSuccess
66fc2089540f6c3812d2ae82,2024-10-01T16:27:40,eae34ad352194c477d893eeaa1e4d7da,GUl멘,202410,패,0,0.0,1.0,0.0,0.0,0.0,85.0,5.0,52.0,0.0,3.95556,keyboard,9.0,6.0,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,124.0,107.0,88.0,85.0,8.0,3.0,0.0,0.0,5.0,4.0,19.0,15.0,0.0,0.0,7.0,1.0,7.0,4.0
66fc2089540f6c3812d2ae82,2024-10-01T16:27:40,c1f3bdaacbb09507701a7706b3ceb62b,예생,202410,승,0,0.0,0.0,1.0,0.0,0.0,65.0,1.0,48.0,1.0,4.23889,keyboard,8.0,7.0,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,1.0,1.0,91.0,81.0,57.0,54.0,3.0,1.0,0.0,0.0,4.0,4.0,25.0,21.0,1.0,1.0,12.0,1.0,8.0,6.0
66fc1198dc6f5943a5bc7daa,2024-10-01T15:24:34,eae34ad352194c477d893eeaa1e4d7da,GUl멘,202410,무,0,0.0,0.0,0.0,0.0,0.0,85.0,2.0,49.0,0.0,4.04444,keyboard,9.0,6.0,0.0,4.0,4,0.0,2.0,2.0,0.0,0.0,6.0,3.0,2.0,0.0,1.0,1.0,117.0,104.0,82.0,78.0,10.0,5.0,1.0,1.0,3.0,3.0,20.0,17.0,0.0,0.0,8.0,0.0,3.0,1.0
66fc1198dc6f5943a5bc7daa,2024-10-01T15:24:34,43f1741636bedd8c1bbf3dc81e31ff95,CoqGaulois,202410,무,0,0.0,1.0,0.0,0.0,0.0,70.0,2.0,51.0,0.0,4.15,keyboard,7.0,5.0,0.0,4.0,4,0.0,1.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,104.0,95.0,77.0,75.0,4.0,2.0,0.0,0.0,0.0,0.0,22.0,17.0,1.0,1.0,11.0,1.0,13.0,9.0
66fbfb7f4023109d10e79a1f,2024-10-01T13:49:18,eae34ad352194c477d893eeaa1e4d7da,GUl멘,202410,승,0,0.0,1.0,0.0,0.0,0.0,91.0,0.0,51.0,0.0,4.37778,keyboard,2.0,2.0,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,127.0,116.0,98.0,93.0,3.0,2.0,1.0,0.0,0.0,0.0,22.0,21.0,0.0,0.0,5.0,0.0,4.0,2.0
66fbfb7f4023109d10e79a1f,2024-10-01T13:49:18,37948e383bc8b76049c2653bd6febb1b,galactico지주,202410,패,0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,49.0,1.0,3.62222,keyboard,4.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,106.0,96.0,79.0,76.0,3.0,2.0,0.0,0.0,3.0,3.0,20.0,15.0,1.0,0.0,13.0,0.0,21.0,9.0
66fbf8763c88810909117050,2024-10-01T13:37:57,eae34ad352194c477d893eeaa1e4d7da,GUl멘,202410,승,0,0.0,0.0,0.0,0.0,0.0,106.0,3.0,62.0,0.0,4.61111,keyboard,10.0,10.0,0.0,6.0,6,0.0,0.0,0.0,0.0,0.0,8.0,6.0,2.0,0.0,0.0,0.0,146.0,134.0,108.0,103.0,9.0,5.0,0.0,0.0,7.0,4.0,22.0,22.0,0.0,0.0,9.0,0.0,7.0,3.0
66fbf8763c88810909117050,2024-10-01T13:37:57,b1f2da928dc74c46d539fb8f6399519a,적삼병,202410,패,0,0.0,2.0,0.0,1.0,0.0,52.0,0.0,38.0,0.0,3.80556,keyboard,4.0,3.0,0.0,3.0,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,93.0,85.0,72.0,66.0,3.0,3.0,0.0,0.0,9.0,8.0,9.0,8.0,0.0,0.0,13.0,2.0,14.0,6.0
66fbf7111a4754068d4ec23b,2024-10-01T13:25:53,eae34ad352194c477d893eeaa1e4d7da,GUl멘,202410,승,1,0.0,0.0,0.0,0.0,0.0,45.0,0.0,57.0,0.0,4.23889,keyboard,3.0,3.0,0.0,3.0,3,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,55.0,50.0,39.0,38.0,4.0,2.0,0.0,0.0,2.0,1.0,10.0,9.0,0.0,0.0,4.0,0.0,1.0,1.0
66fbf7111a4754068d4ec23b,2024-10-01T13:25:53,dd4f7d9b9eb7dafd67321f00b23c2843,케인무관력,202410,패,2,1.0,1.0,0.0,0.0,0.0,40.0,0.0,43.0,0.0,3.42222,keyboard,3.0,3.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,44.0,41.0,29.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,1.0,1.0,1.0,0.0,4.0,1.0
66fbf296cf4b833137d7713a,2024-10-01T13:11:00,eae34ad352194c477d893eeaa1e4d7da,GUl멘,202410,승,0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,51.0,0.0,4.4,keyboard,3.0,3.0,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,116.0,109.0,86.0,82.0,4.0,4.0,0.0,0.0,1.0,1.0,25.0,22.0,0.0,0.0,7.0,2.0,9.0,5.0
66fbf296cf4b833137d7713a,2024-10-01T13:11:00,6af317379849cbb98d863d665e835888,이호옹,202410,패,0,0.0,1.0,0.0,0.0,0.0,79.0,1.0,49.0,0.0,3.33889,gamepad,4.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,118.0,107.0,84.0,79.0,2.0,1.0,0.0,0.0,6.0,6.0,24.0,19.0,2.0,2.0,11.0,1.0,10.0,6.0
66fbf00cd2b4769aec99fdf4,2024-10-01T13:00:55,eae34ad352194c477d893eeaa1e4d7da,GUl멘,202410,승,0,0.0,1.0,0.0,0.0,0.0,97.0,1.0,52.0,0.0,4.67778,keyboard,8.0,7.0,0.0,3.0,3,0.0,1.0,0.0,0.0,0.0,6.0,2.0,2.0,1.0,0.0,0.0,119.0,111.0,93.0,88.0,5.0,4.0,0.0,0.0,2.0,2.0,18.0,17.0,1.0,0.0,12.0,2.0,11.0,5.0
66fbf00cd2b4769aec99fdf4,2024-10-01T13:00:55,9c558a4932ec57da39eef6f29a3af15a,둘리는기합,202410,패,0,0.0,0.0,0.0,0.0,0.0,73.0,6.0,48.0,0.0,3.78889,keyboard,13.0,7.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,4.0,0.0,0.0,0.0,88.0,80.0,66.0,64.0,8.0,3.0,0.0,0.0,0.0,0.0,14.0,13.0,0.0,0.0,8.0,1.0,10.0,6.0
66fbe96e79f7b77170df5be4,2024-10-01T12:32:46,eae34ad352194c477d893eeaa1e4d7da,GUl멘,202410,승,0,0.0,0.0,1.0,0.0,0.0,103.0,5.0,56.0,0.0,4.53889,keyboard,10.0,9.0,0.0,4.0,4,0.0,1.0,0.0,0.0,0.0,7.0,3.0,3.0,1.0,0.0,0.0,148.0,135.0,113.0,109.0,11.0,7.0,0.0,0.0,3.0,3.0,20.0,16.0,0.0,0.0,3.0,0.0,3.0,2.0
66fbe96e79f7b77170df5be4,2024-10-01T12:32:46,d51435acdedd48324917e0427b26ec7b,PANIONOS,202410,패,0,0.0,0.0,0.0,0.0,0.0,63.0,2.0,44.0,0.0,3.82778,keyboard,8.0,7.0,0.0,2.0,2,0.0,1.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,89.0,78.0,70.0,67.0,5.0,1.0,0.0,0.0,5.0,3.0,9.0,7.0,0.0,0.0,9.0,0.0,9.0,5.0
66f7f5f7628457780e48b1a5,2024-09-28T12:36:32,eae34ad352194c477d893eeaa1e4d7da,GUl멘,202410,패,0,0.0,0.0,0.0,0.0,0.0,83.0,2.0,51.0,0.0,3.83889,keyboard,7.0,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,112.0,101.0,91.0,87.0,4.0,1.0,0.0,0.0,1.0,1.0,16.0,12.0,0.0,0.0,5.0,0.0,9.0,5.0
66f7f5f7628457780e48b1a5,2024-09-28T12:36:32,d8d303923c014ac7facc05cca290aa42,Maerip네덜란드,202410,승,0,0.0,1.0,0.0,0.0,0.0,71.0,5.0,49.0,2.0,4.30556,keyboard,7.0,5.0,0.0,1.0,1,0.0,6.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,96.0,84.0,66.0,61.0,7.0,6.0,0.0,0.0,7.0,6.0,12.0,11.0,0.0,0.0,9.0,1.0,12.0,4.0
66f7f36ece1815aad04246b2,2024-09-28T12:25:48,6e915efc307807cf1412f33f80785709,클린쑤만,202410,승,0,0.0,1.0,0.0,0.0,0.0,74.0,3.0,59.0,0.0,4.28333,keyboard,4.0,3.0,0.0,1.0,1,0.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,73.0,68.0,45.0,44.0,8.0,4.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,8.0,1.0,12.0,7.0
66f7f36ece1815aad04246b2,2024-09-28T12:25:48,eae34ad352194c477d893eeaa1e4d7da,GUl멘,202410,패,0,0.0,1.0,1.0,0.0,0.0,67.0,2.0,41.0,0.0,3.71667,keyboard,3.0,2.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,99.0,85.0,73.0,69.0,8.0,3.0,0.0,0.0,0.0,0.0,16.0,13.0,0.0,0.0,4.0,0.0,11.0,7.0
66f7f030ad154c7deb1b4029,2024-09-28T12:12:31,eae34ad352194c477d893eeaa1e4d7da,GUl멘,202410,패,0,0.0,1.0,0.0,0.0,0.0,94.0,2.0,53.0,0.0,3.91667,keyboard,5.0,4.0,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,145.0,134.0,126.0,121.0,5.0,4.0,0.0,0.0,1.0,0.0,12.0,9.0,0.0,0.0,4.0,0.0,1.0,0.0
66f7f030ad154c7deb1b4029,2024-09-28T12:12:31,de0fc768903707b7445438c6cc31f5a7,그곳이알고서엇다,202410,승,0,0.0,1.0,0.0,0.0,0.0,70.0,4.0,47.0,2.0,4.40556,keyboard,10.0,6.0,0.0,4.0,4,0.0,3.0,1.0,0.0,0.0,7.0,4.0,3.0,0.0,0.0,0.0,93.0,80.0,51.0,48.0,8.0,5.0,0.0,0.0,0.0,0.0,30.0,26.0,4.0,1.0,12.0,1.0,14.0,5.0
